method,num_requests,metric,n,mean,std,sem,cv,min,max
Quantum (simulator),5,avg_waiting_time,10,384.1182,393.3097,124.3755,1.0239,0.0,1337.4929
Classical,10,avg_waiting_time,20,445.0529,161.6568,36.1475,0.3632,165.979,655.3921
ClassicalGreedy,10,avg_waiting_time,20,404.4353,148.2631,33.1526,0.3666,144.6962,649.1043
Quantum (simulator),10,avg_waiting_time,20,405.2898,199.3515,44.5763,0.4919,86.7193,830.1545
Classical,20,avg_waiting_time,20,561.7685,124.7666,27.8987,0.2221,333.9855,823.1271
ClassicalGreedy,20,avg_waiting_time,20,483.292,135.9114,30.3907,0.2812,228.6584,872.38
Quantum (simulator),20,avg_waiting_time,20,497.4178,144.7135,32.3589,0.2909,271.172,757.4336
Classical,30,avg_waiting_time,20,490.1751,113.3077,25.3364,0.2312,284.4687,720.9145
ClassicalGreedy,30,avg_waiting_time,20,480.4888,125.915,28.1554,0.2621,281.9185,717.7654
Quantum (simulator),30,avg_waiting_time,20,472.7265,116.5924,26.0708,0.2466,240.4521,656.2375
Classical,40,avg_waiting_time,20,537.083,110.0413,24.606,0.2049,359.5455,746.223
ClassicalGreedy,40,avg_waiting_time,20,497.331,78.0991,17.4635,0.157,355.7962,661.0336
Quantum (simulator),40,avg_waiting_time,20,498.9061,109.6469,24.5178,0.2198,324.3678,680.4599
Classical,50,avg_waiting_time,10,414.0007,66.2546,20.9516,0.16,288.9406,512.551
