city,run_type,nodes,num_vehicles,num_requests,seed,trial,rtv_graph_build_time,percent_serviced,avg_waiting_time,max_waiting_time,avg_detour_factor,max_detour_factor,vmt,total_run_time,solve_time,qubo_build_time,time_min_cost_prep,time_qubo_gen,time_compress,time_quantum_solve,time_decode,time_vehicle_assignment,time_metrics_calc,time_struct_stats,time_total_quantum_block,ilp_num_vars,ilp_num_constraints,ilp_num_integer_vars,ilp_num_nonzero_coeffs,energy_gap,argmin_preservation,condition_number,real_quantum_hardware,K,infeasible_windows,arrival_violations,mean_slack,min_slack,max_slack,p25_slack,median_slack,p75_slack,base_qubo_vars,base_qubo_couplers,base_qubo_graph_density,base_node_density_avg,base_node_density_max,base_node_density_min,base_degree_avg,base_degree_max,base_degree_min,base_qubo_max_abs,base_qubo_min_nonzero_abs,base_qubo_dynamic_range,comp_qubo_vars,comp_qubo_couplers,comp_qubo_graph_density,comp_node_density_avg,comp_node_density_max,comp_node_density_min,comp_degree_avg,comp_degree_max,comp_degree_min,comp_qubo_max_abs,comp_qubo_min_nonzero_abs,comp_qubo_dynamic_range,qubo_logical_qubits,time_greedy_build_candidates,greedy_edges_total,time_greedy_sort,time_greedy_select,time_greedy_total,greedy_sort_work,greedy_assignments,lambda_val,M_val,raw_selected_trips,raw_kept_trips,raw_dropped_trips,raw_violation_rate,raw_infeasible_instance,base_qubo_logical_qubits,ilp_num_binary_vars,ilp_num_continuous_vars
32_Phoenix_City,Classical,15324,10,20,201051,10,0.3184488000115379,100.0,539.1228,1757.895692307692,1.259888902240642,2.6330816598446734,4306.4087692307685,0.0974791000480763,0.0969739000429399,,,,,,,,,,,1619.0,30.0,1619.0,4646.0,,,,,,0,20,3152.1,1729.0,4779.0,2293.25,3198.0,3795.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
32_Phoenix_City,Quantum,15324,10,20,201051,10,0.3184488000115379,90.0,677.7207863247863,1763.9815384615383,1.7194540039751558,2.693729518407084,5666.115846153846,5.463310500024818,5.458705800003372,0.0009828999754972,0.0001623000134713,0.0008205999620258,,5.458705800003372,5.630002124235034e-05,0.0012817999813705,0.0002756000030785,0.0006042000022716,5.463310500024818,,,,,,,,0.0,,0,20,3152.1,1729.0,4779.0,2293.25,3198.0,3795.25,590.0,1140.0,0.0065609622744669,0.0131219245489338,0.0135823429541595,0.0067911714770797,7.728813559322034,8.0,4.0,50000.0,22543.09907692308,2.217973661446753,,,,,,,,,,,,,,,,,,,,,2500.0,25000.0,106.0,10.0,96.0,0.9056603773584906,1.0,590.0,,
32_Phoenix_City,ClassicalGreedy,15324,20,20,202042,1,0.4527033999911509,100.0,457.77964615384616,1583.4744615384616,1.135065747217958,1.6217973237389416,5352.0693846153845,0.0016280999989248,0.0012169000110588,,,,,,,,,,,,,,,,,,,,0,20,3342.85,1337.0,4733.0,2301.0,3625.5,4297.75,,,,,,,,,,,,,,,,,,,,,,,,,,0.000526699994225,3146.0,0.0002940000267699,0.0003454000107012,0.0011661000316962,35021.38836060098,10.0,,,,,,,,,,
32_Phoenix_City,Classical,15324,20,20,202042,1,0.4527033999911509,100.0,353.0917615384616,1791.8763076923078,1.0832078861929586,1.826535498193532,4566.349384615384,0.1951759000075981,0.1946750999777577,,,,,,,,,,,3166.0,40.0,3166.0,9125.0,,,,,,0,20,3342.85,1337.0,4733.0,2301.0,3625.5,4297.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
32_Phoenix_City,Quantum,15324,20,20,202042,1,0.4527033999911509,95.0,343.83074493927126,1637.9126153846155,1.193576645685226,1.5865258778382192,5624.815076923076,5.491735699994024,5.48580339999171,0.0010880999616347,0.000229199999012,0.0008588999626226,,5.48580339999171,5.309999687597156e-05,0.0025712000206112,0.0003354999935254,0.0005808999994769,5.491735699994024,,,,,,,,0.0,,0,20,3342.85,1337.0,4733.0,2301.0,3625.5,4297.75,590.0,1140.0,0.0065609622744669,0.0131219245489338,0.0135823429541595,0.0067911714770797,7.728813559322034,8.0,4.0,50000.0,22538.73323076923,2.2184032921487105,,,,,,,,,,,,,,,,,,,,,2500.0,25000.0,104.0,10.0,94.0,0.903846153846154,1.0,590.0,,
32_Phoenix_City,ClassicalGreedy,15324,20,20,202043,2,0.4658843000070192,100.0,468.9168,1649.8775384615385,1.5054636991666237,2.714402301712452,5088.072307692308,0.0015929999644868,0.0010986999841406,,,,,,,,,,,,,,,,,,,,0,18,2864.5,1340.0,4529.0,2267.5,2748.0,3626.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0005604000180028,2536.0,0.0002475000219419,0.0002298000035807,0.0010377000435255,27356.675080854795,10.0,,,,,,,,,,
32_Phoenix_City,Classical,15324,20,20,202043,2,0.4658843000070192,100.0,532.0088923076923,1649.8775384615385,1.386122493655388,2.714402301712452,4441.600923076923,0.0962353000068105,0.0957849000114947,,,,,,,,,,,2556.0,40.0,2556.0,7331.0,,,,,,0,18,2864.5,1340.0,4529.0,2267.5,2748.0,3626.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
32_Phoenix_City,Quantum,15324,20,20,202043,2,0.4658843000070192,95.0,649.4979271255061,1649.8775384615385,1.957915008266489,4.064815218518891,6285.254615384617,5.456556299992371,5.451564699993469,0.0011199999717064,0.0001932999584823,0.000926700013224,,5.451564699993469,5.360000068321824e-05,0.001932899991516,0.0002494999789632,0.0006476000417023,5.456556299992371,,,,,,,,0.0,,0,18,2864.5,1340.0,4529.0,2267.5,2748.0,3626.0,590.0,1140.0,0.0065609622744669,0.0131219245489338,0.0135823429541595,0.0067911714770797,7.728813559322034,8.0,4.0,50000.0,22537.51846153846,2.2185228637894543,,,,,,,,,,,,,,,,,,,,,2500.0,25000.0,106.0,11.0,95.0,0.8962264150943396,1.0,590.0,,
32_Phoenix_City,ClassicalGreedy,15324,20,20,202044,3,0.4637493999907747,100.0,460.8618,1324.6735384615386,1.5283033273382534,4.521825774113316,6762.408923076924,0.0013855000142939,0.0009568000095896,,,,,,,,,,,,,,,,,,,,0,19,2663.85,1272.0,4195.0,2065.5,2671.0,3439.75,,,,,,,,,,,,,,,,,,,,,,,,,,0.0005090000340715,2103.0,0.0001898000482469,0.0002009999589063,0.0008998000412248,22086.890411436925,10.0,,,,,,,,,,
32_Phoenix_City,Classical,15324,20,20,202044,3,0.4637493999907747,100.0,610.0443384615385,1605.3443076923077,1.2384124632866391,1.7552076585064282,6281.244307692307,0.1435208999901078,0.1430319999926723,,,,,,,,,,,2123.0,40.0,2123.0,6072.0,,,,,,0,19,2663.85,1272.0,4195.0,2065.5,2671.0,3439.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0
