city,run_type,nodes,num_vehicles,num_requests,seed,trial,rtv_graph_build_time,percent_serviced,avg_waiting_time,max_waiting_time,avg_detour_factor,max_detour_factor,vmt,total_run_time,solve_time,qubo_build_time,time_min_cost_prep,time_qubo_gen,time_compress,time_quantum_solve,time_decode,time_vehicle_assignment,time_metrics_calc,time_struct_stats,time_total_quantum_block,ilp_num_vars,ilp_num_constraints,ilp_num_integer_vars,ilp_num_nonzero_coeffs,energy_gap,argmin_preservation,condition_number,real_quantum_hardware,K,infeasible_windows,arrival_violations,mean_slack,min_slack,max_slack,p25_slack,median_slack,p75_slack,base_qubo_vars,base_qubo_couplers,base_qubo_graph_density,base_node_density_avg,base_node_density_max,base_node_density_min,base_degree_avg,base_degree_max,base_degree_min,base_qubo_max_abs,base_qubo_min_nonzero_abs,base_qubo_dynamic_range,comp_qubo_vars,comp_qubo_couplers,comp_qubo_graph_density,comp_node_density_avg,comp_node_density_max,comp_node_density_min,comp_degree_avg,comp_degree_max,comp_degree_min,comp_qubo_max_abs,comp_qubo_min_nonzero_abs,comp_qubo_dynamic_range,qubo_logical_qubits,time_greedy_build_candidates,greedy_edges_total,time_greedy_sort,time_greedy_select,time_greedy_total,greedy_sort_work,greedy_assignments,lambda_val,M_val,num_reads,num_sweeps,cost_alpha,raw_selected_trips,raw_kept_trips,raw_dropped_trips,raw_violation_rate,raw_infeasible_instance,base_qubo_logical_qubits,ilp_num_binary_vars,ilp_num_continuous_vars,ilp_status,ilp_sol_status,ilp_optimal,ilp_has_incumbent,ilp_time_limit_s,ilp_time_limit_hit,ilp_incumbent_objective,ilp_best_bound,ilp_optimality_gap,ilp_used_warm_start_fallback,ilp_solve_time_limit_s,ilp_solve_wall_time_s
32_Phoenix_City,Classical,15324,50,100,1005048,7,3.640435000008438,100.0,549.0080061538462,1711.542461538461,0.9868418570936242,2.5611275861977423,19446.71876923077,30.15178030001698,30.149474000034388,,,,,,,,,,,165820.0,150.0,165820.0,493329.0,,,,,,0,96,3022.15,1275.0,4754.0,2172.5,2888.0,3988.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
32_Phoenix_City,Quantum,15324,50,100,1005048,7,3.640435000008438,92.0,518.4007642140468,1795.3587692307692,1.3089160581108898,2.049644928490181,25226.777384615383,65.54330929997377,65.47742959996685,0.0275176000432111,0.0068889000103808,0.0206287000328302,,65.47742959996685,0.0006631999858655,0.028267899993807,0.0015825000009499,0.0052857000264339,65.54330929997377,,,,,,,,0.0,,0,96,3022.15,1275.0,4754.0,2172.5,2888.0,3988.75,6488.0,12876.0,0.0006118658639483,0.0012237317278966,0.0012332357021735,0.0006166178510867,7.938347718865598,8.0,4.0,50000.0,25000.0,2.0,,,,,,,,,,,,,,,,,,,,,5000.0,25000.0,1000.0,1000.0,1.0,1133.0,46.0,1087.0,0.9593998234774934,1.0,6488.0,,,,,,,,,,,,,,
32_Phoenix_City,ClassicalGreedy,15324,50,100,1005049,8,3.0896878999774344,86.0,549.5109677996422,1798.0103076923078,1.0285045481457389,1.829912723485224,17552.862,0.1491221000324003,0.1470649000257253,,,,,,,,,,,,,,,,,,,,0,95,2871.08,1255.0,4739.0,2051.0,2942.0,3649.5,,,,,,,,,,,,,,,,,,,,,,,,,,0.115568200009875,134091.0,0.0188877000473439,0.0085982999298721,0.1430541999870911,2260774.7666762387,43.0,,,,,,,,,,,,,,,,,,,,,,,,,
32_Phoenix_City,Classical,15324,50,100,1005049,8,3.0896878999774344,100.0,626.7818492307692,1798.0106153846154,0.9961850854986152,1.6956578532192887,20213.33015384616,36.77749400003813,36.77520910004387,,,,,,,,,,,134191.0,150.0,134191.0,398914.0,,,,,,0,95,2871.08,1255.0,4739.0,2051.0,2942.0,3649.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
32_Phoenix_City,Quantum,15324,50,100,1005049,8,3.0896878999774344,92.0,628.5797491638796,1781.2646153846154,1.473972097312039,3.909993158020977,26941.54461538462,65.21964369999478,65.15802510001231,0.0263312000315636,0.0058926999918185,0.0204385000397451,,65.15802510001231,0.0007362000178545,0.0245890999794937,0.0015125999925658,0.0060299999895505,65.21964369999478,,,,,,,,0.0,,0,95,2871.08,1255.0,4739.0,2051.0,2942.0,3649.5,6521.0,12942.0,0.0006087929229116,0.0012175858458232,0.0012269938650306,0.0006134969325153,7.938659714767674,8.0,4.0,50000.0,25000.0,2.0,,,,,,,,,,,,,,,,,,,,,5000.0,25000.0,1000.0,1000.0,1.0,1141.0,48.0,1093.0,0.957931638913234,1.0,6521.0,,,,,,,,,,,,,,
32_Phoenix_City,ClassicalGreedy,15324,50,100,1005050,9,3.69466849998571,92.0,354.7956421404682,1727.0863076923074,1.051003728366662,2.782021287350346,19804.699230769227,0.1840490000322461,0.1818951000459492,,,,,,,,,,,,,,,,,,,,0,97,3126.78,1241.0,4796.0,2036.75,3185.5,4159.25,,,,,,,,,,,,,,,,,,,,,,,,,,0.1400143000064417,174027.0,0.0234554000198841,0.011158799927216,0.1746284999535419,3002010.484656034,46.0,,,,,,,,,,,,,,,,,,,,,,,,,
32_Phoenix_City,Classical,15324,50,100,1005050,9,3.69466849998571,100.0,400.2655046153847,1735.8133846153846,0.9756068234194376,1.8166019410963776,20779.989692307685,38.431889200001024,38.42953209998086,,,,,,,,,,,174127.0,150.0,174127.0,518155.0,,,,,,0,97,3126.78,1241.0,4796.0,2036.75,3185.5,4159.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
32_Phoenix_City,Quantum,15324,50,100,1005050,9,3.69466849998571,96.0,422.13179487179485,1796.9704615384614,1.269166201046131,2.0915325293721856,26053.214,67.49990490003256,67.43109670002013,0.0281087000039406,0.007557800039649,0.0205508999642916,,67.43109670002013,0.0007407999946735,0.0299568000482395,0.0016226999578066,0.0057947000022977,67.49990490003256,,,,,,,,0.0,,0,97,3126.78,1241.0,4796.0,2036.75,3185.5,4159.25,6704.0,13308.0,0.0005922970407935,0.001184594081587,0.0011934954497985,0.0005967477248992,7.940334128878281,8.0,4.0,50000.0,25000.0,2.0,,,,,,,,,,,,,,,,,,,,,5000.0,25000.0,1000.0,1000.0,1.0,1167.0,48.0,1119.0,0.9588688946015425,1.0,6704.0,,,,,,,,,,,,,,
32_Phoenix_City,ClassicalGreedy,15324,50,100,1005051,10,3.423517999995965,87.0,505.82532625994696,1772.5027692307683,1.1073368963200894,2.763962339501168,17259.043384615383,0.1468614000477828,0.1449271000456065,,,,,,,,,,,,,,,,,,,,0,95,3158.88,1263.0,4775.0,2366.75,3321.5,3961.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.1101696999976411,145973.0,0.0197654999792575,0.0103821999509818,0.1403173999278806,2479609.088057215,44.0,,,,,,,,,,,,,,,,,,,,,,,,,
32_Phoenix_City,Classical,15324,50,100,1005051,10,3.423517999995965,100.0,567.452756923077,1798.4156923076926,1.0559964935109043,2.791342441881573,20731.700769230763,51.56054340000264,51.55816329998197,,,,,,,,,,,146073.0,150.0,146073.0,434372.0,,,,,,0,95,3158.88,1263.0,4775.0,2366.75,3321.5,3961.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
