seed,trial,num_vehicles,num_requests,real_quantum_hardware,request_id,served,slack,detour_factor
201043,2,10,20,0,15,1,2610.0,1.6912493465270957
201043,2,10,20,0,16,1,3534.0,1.6105535102756914
201043,2,10,20,0,17,1,3756.0,1.6105535102756914
201043,2,10,20,0,18,1,3210.0,1.6912493465270957
201043,2,10,20,0,19,1,3151.0,1.2343931676665443
201043,2,10,20,0,20,1,3182.0,1.5174980672872147
201044,3,10,20,0,1,1,3241.0,0.8232871649729603
201044,3,10,20,0,2,1,3434.0,0.7123358354117452
201044,3,10,20,0,3,1,2576.0,1.2676662759585482
201044,3,10,20,0,4,1,4687.0,2.5953459225883835
201044,3,10,20,0,5,0,3132.0,
201044,3,10,20,0,6,1,4107.0,2.0163795389632555
201044,3,10,20,0,7,0,1451.0,
201044,3,10,20,0,8,1,4089.0,2.0163795389632555
201044,3,10,20,0,9,0,1510.0,
201044,3,10,20,0,10,1,4329.0,2.5953459225883835
201044,3,10,20,0,11,1,3645.0,1.2676662759585482
201044,3,10,20,0,12,1,2834.0,0.7123358354117452
201044,3,10,20,0,13,0,2724.0,
201044,3,10,20,0,14,1,3382.0,2.1175431794675927
201044,3,10,20,0,15,0,3821.0,
201044,3,10,20,0,16,1,3061.0,1.2069200124681176
201044,3,10,20,0,17,0,2892.0,
201044,3,10,20,0,18,1,1519.0,2.1175431794675927
201044,3,10,20,0,19,1,3989.0,2.795878749879425
201044,3,10,20,0,20,1,1660.0,0.8232871649729603
201045,4,10,20,0,1,1,4370.0,1.6286446632891882
201045,4,10,20,0,2,0,2222.0,
201045,4,10,20,0,3,1,4136.0,2.2086388603963774
201045,4,10,20,0,4,1,2739.0,0.7677742553007033
201045,4,10,20,0,5,1,1965.0,1.9953989077337375
201045,4,10,20,0,6,0,4777.0,
201045,4,10,20,0,7,1,2124.0,0.7677742553007033
201045,4,10,20,0,8,1,3769.0,2.4727012613582446
201045,4,10,20,0,9,1,2756.0,1.4652586397608525
201045,4,10,20,0,10,1,2818.0,1.4575559623727434
201045,4,10,20,0,11,1,4431.0,1.9953989077337375
201045,4,10,20,0,12,1,3738.0,1.3523762713464806
201045,4,10,20,0,13,1,2988.0,1.4652586397608525
201045,4,10,20,0,14,0,2994.0,
201045,4,10,20,0,15,1,2412.0,1.1744717034002299
201045,4,10,20,0,16,1,2618.0,1.3091737147816291
201045,4,10,20,0,17,1,3277.0,1.3523762713464806
201045,4,10,20,0,18,1,1759.0,2.2086388603963774
201045,4,10,20,0,19,1,2063.0,1.4575559623727434
201045,4,10,20,0,20,1,1419.0,1.6286446632891882
201046,5,10,20,0,1,1,2598.0,1.623627652652667
201046,5,10,20,0,2,1,1288.0,2.326250642594715
201046,5,10,20,0,3,0,4581.0,
201046,5,10,20,0,4,1,3497.0,1.7558475274447174
201046,5,10,20,0,5,1,3422.0,1.5376356149682318
201046,5,10,20,0,6,0,3208.0,
201046,5,10,20,0,7,1,1968.0,1.7030461997019368
201046,5,10,20,0,8,0,1581.0,
201046,5,10,20,0,9,1,4387.0,1.9989706357534625
201046,5,10,20,0,10,1,4411.0,1.7558475274447174
201046,5,10,20,0,11,1,3978.0,1.5376356149682318
201046,5,10,20,0,12,1,4441.0,2.326250642594715
201046,5,10,20,0,13,1,2572.0,1.9989706357534625
201046,5,10,20,0,14,1,1434.0,1.203565444977834
201046,5,10,20,0,15,1,2619.0,1.350950989849821
201046,5,10,20,0,16,0,4777.0,
201046,5,10,20,0,17,0,3454.0,
201046,5,10,20,0,18,1,3322.0,1.6217001544826697
201046,5,10,20,0,19,1,1514.0,1.7030461997019368
201046,5,10,20,0,20,1,4693.0,1.623627652652667
201047,6,10,20,0,1,0,4336.0,
201047,6,10,20,0,2,1,4530.0,1.1839939867589588
201047,6,10,20,0,3,0,3922.0,
201047,6,10,20,0,4,1,1352.0,1.6437698294992504
201047,6,10,20,0,5,1,2472.0,1.3591801902119343
201047,6,10,20,0,6,1,1897.0,1.3591801902119343
201047,6,10,20,0,7,0,2483.0,
201047,6,10,20,0,8,1,2455.0,1.148754497083445
201047,6,10,20,0,9,1,2515.0,1.3353871542835118
201047,6,10,20,0,10,1,2354.0,1.6437698294992504
201047,6,10,20,0,11,0,4094.0,
201047,6,10,20,0,12,1,1215.0,1.1839939867589588
201047,6,10,20,0,13,1,1997.0,1.3353871542835118
201047,6,10,20,0,14,1,2894.0,1.6900795335902503
201047,6,10,20,0,15,1,1402.0,1.6900795335902503
201047,6,10,20,0,16,0,2915.0,
201047,6,10,20,0,17,1,1526.0,1.4657772707612327
201047,6,10,20,0,18,1,3740.0,1.4657772707612327
201047,6,10,20,0,19,1,3687.0,1.0836519533396554
201047,6,10,20,0,20,0,4493.0,
201048,7,10,20,0,1,0,3750.0,
201048,7,10,20,0,2,1,4482.0,1.464043671465962
201048,7,10,20,0,3,1,4073.0,1.464043671465962
201048,7,10,20,0,4,1,2541.0,1.7512118782571156
201048,7,10,20,0,5,1,4435.0,2.3862544819285207
201048,7,10,20,0,6,0,1622.0,
201048,7,10,20,0,7,1,1934.0,1.7512118782571156
201048,7,10,20,0,8,1,2985.0,1.8959387669294772
201048,7,10,20,0,9,0,3747.0,
201048,7,10,20,0,10,1,2921.0,2.2024678335316263
201048,7,10,20,0,11,1,3732.0,2.2024678335316263
201048,7,10,20,0,12,0,3786.0,
201048,7,10,20,0,13,0,2224.0,
201048,7,10,20,0,14,1,1575.0,2.062680917771909
201048,7,10,20,0,15,1,4098.0,2.3862544819285207
201048,7,10,20,0,16,1,4004.0,2.065779467680609
201048,7,10,20,0,17,1,1792.0,2.065779467680609
201048,7,10,20,0,18,1,1738.0,2.062680917771909
201048,7,10,20,0,19,1,3188.0,1.5128630783669197
201048,7,10,20,0,20,1,1621.0,1.8959387669294772
201049,8,10,20,0,1,1,1977.0,1.094504361709961
201049,8,10,20,0,2,1,3419.0,2.795662968477567
201049,8,10,20,0,3,1,2888.0,1.6616303556160736
201049,8,10,20,0,4,1,2227.0,1.876094223366392
201049,8,10,20,0,5,1,1803.0,1.3594444037682432
201049,8,10,20,0,6,1,2192.0,1.0845660477950347
201049,8,10,20,0,7,1,4121.0,1.876094223366392
201049,8,10,20,0,8,1,3904.0,1.0845660477950347
201049,8,10,20,0,9,1,3798.0,1.491835286772427
201049,8,10,20,0,10,0,3839.0,
201049,8,10,20,0,11,1,2758.0,1.3594444037682432
201049,8,10,20,0,12,1,1530.0,1.094504361709961
201049,8,10,20,0,13,1,3927.0,2.795662968477567
201049,8,10,20,0,14,1,2054.0,2.460813948971778
201049,8,10,20,0,15,1,3086.0,1.1007895043418259
201049,8,10,20,0,16,1,2725.0,2.765269192784504
201049,8,10,20,0,17,1,2018.0,2.765269192784504
201049,8,10,20,0,18,1,4190.0,2.460813948971778
201049,8,10,20,0,19,0,2084.0,
201049,8,10,20,0,20,1,3081.0,1.1007895043418259
201050,9,10,20,0,1,1,4610.0,2.110662834000983
201050,9,10,20,0,2,1,3500.0,2.298028470128696
201050,9,10,20,0,3,1,2586.0,2.210120654412191
201050,9,10,20,0,4,1,3380.0,3.102468497833607
201050,9,10,20,0,5,0,4036.0,
201050,9,10,20,0,6,1,1939.0,3.102468497833607
201050,9,10,20,0,7,0,3994.0,
201050,9,10,20,0,8,1,2601.0,5.329432963317241
201050,9,10,20,0,9,1,1219.0,1.5641239947977488
201050,9,10,20,0,10,1,1844.0,3.017336117141158
201050,9,10,20,0,11,1,2781.0,3.017336117141158
201050,9,10,20,0,12,1,4726.0,2.110662834000983
201050,9,10,20,0,13,0,2936.0,
201050,9,10,20,0,14,1,4171.0,2.277836437319395
201050,9,10,20,0,15,1,1857.0,5.6418897044984
201050,9,10,20,0,16,0,3810.0,
201050,9,10,20,0,17,0,3907.0,
201050,9,10,20,0,18,1,2087.0,2.277836437319395
201050,9,10,20,0,19,1,3092.0,5.6418897044984
201050,9,10,20,0,20,0,2444.0,
201051,10,10,20,0,1,0,1729.0,
201051,10,10,20,0,2,1,2195.0,1.3066586074642927
201051,10,10,20,0,3,1,2326.0,1.2850664807686123
201051,10,10,20,0,4,0,4252.0,
201051,10,10,20,0,5,1,3036.0,1.538225001801744
201051,10,10,20,0,6,1,2966.0,1.5328343458377507
201051,10,10,20,0,7,1,4645.0,1.2464137711189036
201051,10,10,20,0,8,1,4345.0,1.4508793079375562
201051,10,10,20,0,9,1,3365.0,3.019170052317894
201051,10,10,20,0,10,1,3643.0,1.2068281691289675
201051,10,10,20,0,11,1,2498.0,1.538225001801744
201051,10,10,20,0,12,1,4779.0,1.3066586074642927
201051,10,10,20,0,13,1,1839.0,3.019170052317894
201051,10,10,20,0,14,0,4526.0,
201051,10,10,20,0,15,1,3289.0,2.072047656454569
201051,10,10,20,0,16,1,3395.0,1.3495775727902768
201051,10,10,20,0,17,1,3276.0,1.3495775727902768
201051,10,10,20,0,18,1,1839.0,1.2850664807686123
201051,10,10,20,0,19,1,1979.0,1.5328343458377507
201051,10,10,20,0,20,0,3120.0,
202042,1,20,20,0,1,1,2055.0,1.9164530285802552
202042,1,20,20,0,2,1,2383.0,0.9551361037674979
202042,1,20,20,0,3,1,3146.0,1.2852111891938314
202042,1,20,20,0,4,1,4245.0,1.1447225016348137
202042,1,20,20,0,5,1,4613.0,1.3801310641680082
202042,1,20,20,0,6,1,3617.0,1.3801310641680082
202042,1,20,20,0,7,1,3888.0,0.9551361037674979
202042,1,20,20,0,8,0,4456.0,
202042,1,20,20,0,9,1,1567.0,1.0562439169908426
202042,1,20,20,0,10,1,1383.0,2.6874438158127787
202042,1,20,20,0,11,1,1871.0,1.9341154658704276
202042,1,20,20,0,12,1,4601.0,1.045327302848831
202042,1,20,20,0,13,1,3407.0,1.1062476595751016
202042,1,20,20,0,14,1,3934.0,2.8653411762704586
202042,1,20,20,0,15,1,3181.0,1.0927078677643838
202042,1,20,20,0,16,1,4116.0,1.9341154658704276
202042,1,20,20,0,17,1,1337.0,1.2852111891938314
202042,1,20,20,0,18,1,4690.0,2.8653411762704586
202042,1,20,20,0,19,1,4733.0,2.6874438158127787
202042,1,20,20,0,20,1,3634.0,1.9164530285802552
202043,2,20,20,0,1,1,3641.0,1.8055564282840666
202043,2,20,20,0,2,1,4529.0,1.3256111678784692
202043,2,20,20,0,3,1,2344.0,1.213732882080285
202043,2,20,20,0,4,1,2721.0,2.4939772406279
202043,2,20,20,0,5,1,2340.0,2.3218131573635166
202043,2,20,20,0,6,1,2652.0,1.1112525678147194
202043,2,20,20,0,7,1,3734.0,2.072067333867969
202043,2,20,20,0,8,1,2775.0,2.1007017046851506
202043,2,20,20,0,9,1,4329.0,1.213732882080285
202043,2,20,20,0,10,1,1706.0,2.4939772406279
202043,2,20,20,0,11,1,2951.0,2.3218131573635166
202043,2,20,20,0,12,1,1663.0,1.8055564282840666
202043,2,20,20,0,13,1,1340.0,1.3256111678784692
202043,2,20,20,0,14,1,3106.0,2.592762139600819
202043,2,20,20,0,15,1,2050.0,2.072067333867969
202043,2,20,20,0,16,1,1731.0,1.38442862525127
202043,2,20,20,0,17,1,3621.0,1.38442862525127
202043,2,20,20,0,18,1,2451.0,2.592762139600819
202043,2,20,20,0,19,1,3170.0,1.606164048401051
202043,2,20,20,0,20,1,4436.0,2.1007017046851506
202044,3,20,20,0,1,1,1428.0,1.62826252638624
202044,3,20,20,0,2,1,2755.0,1.7874936629580598
202044,3,20,20,0,3,1,1272.0,1.3756570139969952
202044,3,20,20,0,4,1,3337.0,1.562133717830579
202044,3,20,20,0,5,1,3634.0,1.443643742860507
202044,3,20,20,0,6,1,3665.0,1.443643742860507
202044,3,20,20,0,7,1,4195.0,2.2421939350450506
202044,3,20,20,0,8,1,2900.0,1.3747119464540052
202044,3,20,20,0,9,1,2856.0,1.5527385399853633
202044,3,20,20,0,10,1,3798.0,1.562133717830579
202044,3,20,20,0,11,1,2587.0,2.2421939350450506
202044,3,20,20,0,12,1,3375.0,1.7874936629580598
202044,3,20,20,0,13,1,2352.0,1.5527385399853633
202044,3,20,20,0,14,1,2068.0,1.9456020862872188
202044,3,20,20,0,15,1,1315.0,1.62826252638624
