seed,trial,num_vehicles,num_requests,real_quantum_hardware,request_id,served,slack,detour_factor
201042,1,10,20,0,11,1,2482.0,1.71878584904766
201042,1,10,20,0,12,1,3435.0,1.822980771278295
201042,1,10,20,0,13,1,1830.0,3.5754641533036824
201042,1,10,20,0,14,1,3025.0,2.107267267495755
201042,1,10,20,0,15,1,4676.0,1.822980771278295
201042,1,10,20,0,16,1,1602.0,1.359858556345043
201042,1,10,20,0,17,0,2946.0,
201042,1,10,20,0,18,1,2935.0,3.088262034330576
201042,1,10,20,0,19,1,2832.0,2.107267267495755
201042,1,10,20,0,20,1,2267.0,1.189555003417155
201043,2,10,20,0,1,1,1821.0,2.335461428406673
201043,2,10,20,0,2,1,2122.0,1.3348639120697627
201043,2,10,20,0,3,1,2202.0,1.0331934427954865
201043,2,10,20,0,4,1,2537.0,2.062512296592686
201043,2,10,20,0,5,1,4138.0,1.925044676222177
201043,2,10,20,0,6,1,3462.0,1.3671383855418353
201043,2,10,20,0,7,0,2038.0,
201043,2,10,20,0,8,1,4234.0,2.335461428406673
201043,2,10,20,0,9,1,4380.0,1.3348639120697627
201043,2,10,20,0,10,1,4700.0,3.4605939720754937
201043,2,10,20,0,11,1,3882.0,1.3671383855418353
201043,2,10,20,0,12,0,2292.0,
201043,2,10,20,0,13,1,3534.0,1.8201215084319446
201043,2,10,20,0,14,1,3709.0,2.265618457257509
201043,2,10,20,0,15,1,2610.0,2.062512296592686
201043,2,10,20,0,16,0,3534.0,
201043,2,10,20,0,17,0,3756.0,
201043,2,10,20,0,18,1,3210.0,2.265618457257509
201043,2,10,20,0,19,0,3151.0,
201043,2,10,20,0,20,1,3182.0,1.0331934427954865
201044,3,10,20,0,1,1,3241.0,1.3411967642251605
201044,3,10,20,0,2,1,3434.0,0.772849718570735
201044,3,10,20,0,3,1,2576.0,1.2863859290971418
201044,3,10,20,0,4,1,4687.0,2.1037233527835033
201044,3,10,20,0,5,1,3132.0,1.2596088655322861
201044,3,10,20,0,6,1,4107.0,1.2596088655322861
201044,3,10,20,0,7,1,1451.0,1.9718802785420049
201044,3,10,20,0,8,1,4089.0,2.6617772186326056
201044,3,10,20,0,9,1,1510.0,0.772849718570735
201044,3,10,20,0,10,1,4329.0,2.6617772186326056
201044,3,10,20,0,11,1,3645.0,1.2863859290971418
201044,3,10,20,0,12,1,2834.0,1.5118301235472453
201044,3,10,20,0,13,0,2724.0,
201044,3,10,20,0,14,1,3382.0,1.696477034625738
201044,3,10,20,0,15,0,3821.0,
201044,3,10,20,0,16,1,3061.0,1.3411967642251605
201044,3,10,20,0,17,1,2892.0,1.3363403544182917
201044,3,10,20,0,18,1,1519.0,1.5118301235472453
201044,3,10,20,0,19,1,3989.0,1.696477034625738
201044,3,10,20,0,20,1,1660.0,1.3363403544182917
201045,4,10,20,0,1,1,4370.0,2.1154466477073526
201045,4,10,20,0,2,1,2222.0,1.4468152794016849
201045,4,10,20,0,3,1,4136.0,1.2351930139504903
201045,4,10,20,0,4,0,2739.0,
201045,4,10,20,0,5,1,1965.0,1.6347264266396555
201045,4,10,20,0,6,1,4777.0,2.853887116201423
201045,4,10,20,0,7,0,2124.0,
201045,4,10,20,0,8,1,3769.0,2.052061309771866
201045,4,10,20,0,9,1,2756.0,1.0664160911063085
201045,4,10,20,0,10,1,2818.0,1.309061051885368
201045,4,10,20,0,11,1,4431.0,2.052061309771866
201045,4,10,20,0,12,1,3738.0,1.4468152794016849
201045,4,10,20,0,13,1,2988.0,1.309061051885368
201045,4,10,20,0,14,0,2994.0,
201045,4,10,20,0,15,0,2412.0,
201045,4,10,20,0,16,1,2618.0,2.1154466477073526
201045,4,10,20,0,17,0,3277.0,
201045,4,10,20,0,18,0,1759.0,
201045,4,10,20,0,19,1,2063.0,1.0664160911063085
201045,4,10,20,0,20,1,1419.0,1.2351930139504903
201046,5,10,20,0,1,1,2598.0,3.214848972336081
201046,5,10,20,0,2,1,1288.0,3.2631268092712395
201046,5,10,20,0,3,1,4581.0,3.214848972336081
201046,5,10,20,0,4,1,3497.0,1.390693651433787
201046,5,10,20,0,5,1,3422.0,1.416728229071245
201046,5,10,20,0,6,1,3208.0,1.0829708117859034
201046,5,10,20,0,7,1,1968.0,1.0389560011096899
201046,5,10,20,0,8,1,1581.0,1.070473408201309
201046,5,10,20,0,9,1,4387.0,3.2631268092712395
201046,5,10,20,0,10,1,4411.0,1.070473408201309
201046,5,10,20,0,11,1,3978.0,1.5464643291946907
201046,5,10,20,0,12,0,4441.0,
201046,5,10,20,0,13,1,2572.0,1.4464098549449413
201046,5,10,20,0,14,0,1434.0,
201046,5,10,20,0,15,1,2619.0,1.390693651433787
201046,5,10,20,0,16,0,4777.0,
201046,5,10,20,0,17,1,3454.0,1.5815137685613767
201046,5,10,20,0,18,0,3322.0,
201046,5,10,20,0,19,1,1514.0,1.4464098549449413
201046,5,10,20,0,20,0,4693.0,
201047,6,10,20,0,1,0,4336.0,
201047,6,10,20,0,2,0,4530.0,
201047,6,10,20,0,3,1,3922.0,1.4441596047650473
201047,6,10,20,0,4,1,1352.0,0.9896696034666035
201047,6,10,20,0,5,1,2472.0,2.2905415032152057
201047,6,10,20,0,6,1,1897.0,0.9896696034666035
201047,6,10,20,0,7,1,2483.0,1.729699352342093
201047,6,10,20,0,8,0,2455.0,
201047,6,10,20,0,9,1,2515.0,1.0840129640490475
201047,6,10,20,0,10,1,2354.0,1.4390335193063326
201047,6,10,20,0,11,1,4094.0,1.729699352342093
201047,6,10,20,0,12,1,1215.0,1.3043917719156068
201047,6,10,20,0,13,1,1997.0,1.3043917719156068
201047,6,10,20,0,14,1,2894.0,1.4142594081736557
201047,6,10,20,0,15,0,1402.0,
201047,6,10,20,0,16,0,2915.0,
201047,6,10,20,0,17,1,1526.0,1.4441596047650473
201047,6,10,20,0,18,1,3740.0,1.4142594081736557
201047,6,10,20,0,19,1,3687.0,1.0840129640490475
