num_requests,num_vehicles,lambda_val,M_val,mean_percent_serviced,sem_percent_serviced,n_runs,rank,tied_with_best
10,10,10000.0,20000.0,100.0,0.0,15,3,True
10,10,20000.0,40000.0,100.0,0.0,15,4,True
10,10,40000.0,80000.0,100.0,0.0,15,5,True
10,10,2500.0,12500.0,99.33333333333333,0.6666666666666665,15,6,False
10,10,5000.0,25000.0,99.33333333333333,0.6666666666666669,15,7,False
10,10,10000.0,50000.0,99.33333333333333,0.6666666666666664,15,8,False
10,10,40000.0,200000.0,99.33333333333333,0.6666666666666669,15,9,False
10,10,20000.0,200000.0,98.66666666666667,0.9085135251589956,15,10,False
10,10,40000.0,400000.0,98.66666666666667,0.9085135251589954,15,11,False
10,10,20000.0,100000.0,98.0,1.4474937289114915,15,12,False
10,10,2500.0,25000.0,97.33333333333333,1.532712089469627,15,13,False
10,10,10000.0,100000.0,97.33333333333333,1.1818736805705576,15,14,False
10,10,5000.0,50000.0,96.66666666666667,1.259881576697424,15,15,False
20,10,5000.0,10000.0,81.33333333333333,1.7906281597107778,15,1,True
20,10,20000.0,40000.0,80.33333333333333,1.855921454276674,15,2,True
20,10,10000.0,20000.0,80.0,1.951800145897066,15,3,True
20,10,10000.0,50000.0,79.66666666666667,1.7906281597107774,15,4,True
20,10,40000.0,200000.0,79.33333333333333,1.6085091194337642,15,5,False
20,10,2500.0,5000.0,79.0,1.5583874449479589,15,6,False
20,10,2500.0,25000.0,79.0,1.7043362064926928,15,7,False
20,10,20000.0,200000.0,78.66666666666667,1.8559214542766744,15,8,False
20,10,40000.0,80000.0,78.0,1.8771812708978117,15,9,False
20,10,20000.0,100000.0,77.66666666666667,2.281742581087798,15,10,False
20,10,40000.0,400000.0,77.66666666666667,2.11944886516837,15,11,False
20,10,2500.0,12500.0,77.0,2.1712405933672385,15,12,False
20,10,10000.0,100000.0,77.0,1.8126539343499315,15,13,False
20,10,5000.0,25000.0,75.66666666666667,2.1748928088893784,15,14,False
20,10,5000.0,50000.0,75.0,1.543033499620919,15,15,False
20,20,5000.0,10000.0,97.33333333333333,0.9594972228385655,15,1,True
20,20,40000.0,200000.0,97.33333333333333,0.8261595987094033,15,2,True
20,20,20000.0,100000.0,96.66666666666667,1.0540925533894598,15,3,True
20,20,2500.0,25000.0,96.66666666666667,0.9343531843023132,15,4,True
20,20,20000.0,200000.0,96.66666666666667,0.7968190728895953,15,5,True
20,20,10000.0,20000.0,96.33333333333333,1.333333333333333,15,6,False
20,20,40000.0,80000.0,96.0,0.8728715609439691,15,7,False
20,20,5000.0,50000.0,95.66666666666667,1.1818736805705583,15,8,False
20,20,2500.0,12500.0,95.33333333333333,0.9085135251589959,15,9,False
20,20,10000.0,100000.0,95.33333333333333,0.9085135251589959,15,10,False
20,20,10000.0,50000.0,95.0,0.8451542547285167,15,11,False
20,20,40000.0,400000.0,95.0,0.9759000729485332,15,12,False
20,20,2500.0,5000.0,94.66666666666667,1.0312575156051296,15,13,False
20,20,5000.0,25000.0,94.66666666666667,0.9085135251589959,15,14,False
20,20,20000.0,40000.0,94.33333333333333,0.9594972228385658,15,15,False
30,20,2500.0,5000.0,94.44444444444444,1.3672924106259063,15,1,True
30,20,20000.0,100000.0,94.44444444444444,1.5487378943048213,15,2,True
30,20,5000.0,10000.0,93.77777777777779,1.7777777777777788,15,3,True
30,20,2500.0,25000.0,93.55555555555557,2.0175595994204008,15,4,True
30,20,5000.0,25000.0,93.55555555555556,1.4352577213279147,15,5,True
30,20,20000.0,200000.0,93.11111111111111,1.9911621308656156,15,6,True
30,20,5000.0,50000.0,92.66666666666667,2.6666666666666674,15,7,False
30,20,20000.0,40000.0,92.44444444444444,1.9644099688133323,15,8,False
30,20,10000.0,20000.0,92.22222222222223,2.022797755184,15,9,False
30,20,2500.0,12500.0,91.55555555555557,2.2739999643233304,15,10,False
30,20,40000.0,400000.0,91.55555555555557,2.1789436464631393,15,11,False
30,20,40000.0,80000.0,91.55555555555556,1.920831683480108,15,12,False
30,20,10000.0,100000.0,91.33333333333334,2.6387426860084267,15,13,False
